ID1 ID2 HetHet IBS0 Kinship
1018426 3259879 0.047 0.0136 0.0727
1018458 3463844 0.046 0.0134 0.0684
1018525 2210434 0.073 0.0051 0.2386
1018616 5966660 0.071 0.0062 0.2156
1018641 1349128 0.077 0.0054 0.2481
1018751 5950288 0.053 0.0094 0.1191
1018765 3299274 0.084 0.0042 0.2789
1018773 2059408 0.077 0.0047 0.2562
1018808 1097313 0.073 0.0058 0.2283
1018815 2347967 0.046 0.0142 0.0653
1018903 1868106 0.047 0.0128 0.0779
1018903 2520897 0.045 0.0149 0.0578
1018910 2358810 0.068 0.0066 0.2104
1018928 3088272 0.074 0.005 0.244
1018969 2557037 0.072 0.0065 0.2163
1019058 3164878 0.068 0.0056 0.2196
1019116 2472722 0.075 0.0051 0.2427
1019252 2852780 0.046 0.0142 0.0622
1019276 3951327 0.046 0.0146 0.0631
1019450 4314793 0.045 0.0154 0.0522
1019498 2019028 0.047 0.0139 0.0654
1019498 4485600 0.044 0.0154 0.0478
1019498 5179866 0.044 0.0157 0.0453
1019527 1691390 0.072 0.006 0.2241
1019592 5654058 0.043 0.0154 0.0462
1019678 3948062 0.053 0.0094 0.1275
1019738 2013272 0.045 0.0139 0.0641
1019742 4605952 0.08 0.0048 0.2583
1019824 4757889 0.046 0.0141 0.0651
1020031 2936123 0.047 0.0135 0.0741
1020031 4102143 0.045 0.0148 0.0562
1020101 1759102 0.048 0.0132 0.0783
1020156 5048744 0.043 0.0156 0.0456
1020167 3701939 0.074 0.0053 0.2363
1020227 5253441 0.077 0.0049 0.2495
1020227 5784821 0.045 0.0149 0.0528
1020344 2208386 0.067 0 0.2479
1020344 5901989 0.053 0.0092 0.1282
1020381 3930765 0.077 0.0049 0.2494
1020446 5763698 0.046 0.0147 0.057
1020503 1608187 0.073 0.0061 0.2223
1020510 2443248 0.045 0.0133 0.0668
1020591 6024180 0.047 0.013 0.0759
1020621 2634713 0.046 0.0142 0.0653
1020737 2871760 0.045 0.0152 0.0519
1020804 1443655 0.063 0.0001 0.2401
1020847 4872181 0.047 0.0133 0.0763
1020924 1302817 0.045 0.016 0.0481
1021029 4112539 0.045 0.0154 0.0527
1021068 4764180 0.047 0.0136 0.0741
1021132 3362427 0.046 0.0139 0.0672
1021144 2387337 0.045 0.015 0.0547
1021144 4165878 0.051 0.0109 0.1087
1021144 4643234 0.047 0.0144 0.0648
1021215 2246881 0.077 0.0042 0.2573
1021215 3898296 0.075 0.0047 0.2455
1021282 2944637 0.045 0.0147 0.0554
1021310 4805182 0.074 0.0054 0.2349
1021345 3026306 0.045 0.0156 0.0496
1021461 2579108 0.081 0.0036 0.2728
1021583 1335784 0.046 0.0149 0.0555
1021597 4383992 0.045 0.015 0.0551
1021627 3743159 0.044 0.0159 0.0452
1021651 1826295 0.067 0 0.2487
1021771 2547928 0.052 0.0102 0.1159
1021812 4165404 0.045 0.0154 0.0506
1021974 4571755 0.046 0.0134 0.07
1022090 3175218 0.045 0.0138 0.0633
1022090 5765308 0.066 0 0.2454
1022195 1930511 0.068 0 0.2489
1022382 4899617 0.045 0.0149 0.0546
1022450 5184337 0.046 0.0146 0.0599
1022477 3736118 0.044 0.015 0.0508
1022527 2670161 0.075 0.0045 0.2442
1022592 2253535 0.054 0.0082 0.1391
1022592 4492329 0.075 0.005 0.2419
1022635 5963231 0.045 0.015 0.0542
